Name,Solution Size,Time Taken (seconds)
exact_001.gr,3,0
exact_003.gr,4,0.01
exact_005.gr,4,0
exact_007.gr,2,0
exact_009.gr,2,0
exact_011.gr,3,0
exact_013.gr,3,0
exact_015.gr,3,0.02
exact_017.gr,3,0
exact_019.gr,7,0.01
exact_021.gr,10,0
exact_023.gr,4,0
exact_025.gr,7,0
exact_027.gr,9,0
exact_029.gr,14,0
exact_031.gr,13,0.03
exact_033.gr,11,0.01
exact_035.gr,17,0
exact_037.gr,11,0
exact_039.gr,9,0
exact_041.gr,13,0
exact_043.gr,8,0
exact_045.gr,15,0
exact_047.gr,15,0
exact_049.gr,20,0
exact_051.gr,7,0
exact_053.gr,15,0
exact_055.gr,1,0.01
exact_057.gr,24,0
exact_059.gr,25,0
exact_061.gr,20,0
exact_063.gr,29,0
exact_065.gr,28,0
exact_067.gr,33,0
exact_069.gr,32,0
exact_071.gr,2,0.02
exact_073.gr,3,0.01
exact_075.gr,2,0.02
exact_077.gr,2,0.02
exact_079.gr,2,0.01
exact_081.gr,2,0.01
exact_083.gr,2,0.03
exact_085.gr,3,4.31
exact_087.gr,3,2.81
exact_089.gr,3,6.52
exact_091.gr,
exact_093.gr,
exact_095.gr,86,4.42
exact_097.gr,175,0.01
exact_099.gr,161,0.01
exact_101.gr,109,52.36
exact_103.gr,
exact_105.gr,36,15
exact_107.gr,37,0.06
exact_109.gr,6,0.07
exact_111.gr,120,9.95
exact_113.gr,
exact_115.gr,
exact_117.gr,34,0.03
exact_119.gr,133,0.05
exact_121.gr,479,0.01
exact_123.gr,200,6.78
exact_125.gr,
exact_127.gr,
exact_129.gr,
exact_131.gr,
exact_133.gr,75,0.02
exact_135.gr,249,0.01
exact_137.gr,
exact_139.gr,
exact_141.gr,
exact_143.gr,1143,0.31
exact_145.gr,1611,4.8
exact_147.gr,437,0.02
exact_149.gr,
exact_151.gr,
exact_153.gr,
exact_155.gr,70,0.04
exact_157.gr,835,0.01
exact_159.gr,626,0.05
exact_161.gr,721,0.12
exact_163.gr,1031,0.22
exact_165.gr,756,0.49
exact_167.gr,802,1.1
exact_169.gr,819,1.61
exact_171.gr,
exact_173.gr,
exact_175.gr,1299,0.25
exact_177.gr,707,0.01
exact_179.gr,601,5.38
exact_181.gr,601,0.08
exact_183.gr,
exact_185.gr,
exact_187.gr,
exact_189.gr,195,0.12
exact_191.gr,1329,0.74
exact_193.gr,540,0.07
exact_195.gr,1001,0.07
exact_197.gr,348,0.03
exact_199.gr,4332,0.04
